127.0.0.1 - - [20/Mar/2026:14:40:21 +0900] "GET / HTTP/1.1" 200 7625
0:0:0:0:0:0:0:1 - - [20/Mar/2026:14:40:30 +0900] "GET / HTTP/1.1" 200 7625
0:0:0:0:0:0:0:1 - - [20/Mar/2026:14:40:30 +0900] "GET /resources/js/main.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Mar/2026:14:40:30 +0900] "GET /resources/css/main.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Mar/2026:14:40:30 +0900] "GET /resources/upload/default.png HTTP/1.1" 404 722
0:0:0:0:0:0:0:1 - - [20/Mar/2026:14:40:30 +0900] "GET /resources/upload/default.png HTTP/1.1" 404 722
0:0:0:0:0:0:0:1 - - [20/Mar/2026:14:40:30 +0900] "GET /favicon.ico HTTP/1.1" 404 722
0:0:0:0:0:0:0:1 - - [20/Mar/2026:14:44:22 +0900] "GET /movie/list HTTP/1.1" 200 8464
0:0:0:0:0:0:0:1 - - [20/Mar/2026:14:44:25 +0900] "GET /main HTTP/1.1" 200 7625
0:0:0:0:0:0:0:1 - - [20/Mar/2026:14:44:25 +0900] "GET /resources/upload/default.png HTTP/1.1" 404 722
0:0:0:0:0:0:0:1 - - [20/Mar/2026:14:44:25 +0900] "GET /resources/upload/default.png HTTP/1.1" 404 722
